time,temp
0.408,383F
5.204,393F
10,366F
15.197,342F
19.993,307F
25.189,296F
29.987,274F
35.182,255F
39.978,239F
45.176,226F
49.971,215F
55.168,204F
59.965,198F
65.161,193.5F
69.958,189.7F
75.153,186.6F
79.949,184.7F
85.146,183.6F
89.942,183.5F
95.139,183.8F
99.935,184.3F
105.132,185.4F
109.929,186.9F
115.125,188.6F
120.322,190.5F
125.118,192.7F
130.313,195.8F
135.11,197.7F
140.306,200.1F
145.103,202F
150.299,204F
155.096,207F
160.292,210F
165.089,213F
170.286,216F
175.082,219F
180.279,221F
185.074,224F
190.271,226F
195.067,228F
200.263,231F
205.06,234F
210.256,237F
215.055,239F
220.25,242F
225.046,244F
230.242,246F
235.038,248F
240.234,250F
245.031,253F
250.227,257F
255.024,259F
260.22,261F
265.017,263F
270.213,264F
275.01,266F
280.207,268F
285.002,271F
290.198,273F
294.995,274F
300.192,276F
304.988,278F
310.185,280F
314.981,282F
320.177,282F
324.974,284F
330.171,288F
334.966,291F
340.162,292F
344.959,292F
350.155,301F
354.952,296F
360.148,298F
364.945,300F
370.142,303F
374.938,304F
380.135,306F
384.931,307F
390.127,308F
395.323,310F
400.12,315F
405.316,326F
410.112,331F
415.309,336F
420.106,340F
425.302,343F
430.104,347F
435.294,349F
440.09,355F
445.287,356F
450.083,359F
455.28,360F
460.076,360F
465.273,362F
470.069,361F
475.266,366F
480.062,367F
485.259,369F
490.055,370F
495.251,371F
500.047,372F
505.244,372F
510.04,374F
515.237,374F
520.034,375F
525.23,376F
530.026,377F
535.223,378F
540.02,382F
545.215,383F
550.011,385F
555.208,385F
560.005,387F
565.201,388F
569.998,389F
575.194,390F
579.991,391F
585.187,392F
589.984,393F
595.179,391F
599.976,393F
605.172,395F
609.968,396F
615.165,397F
619.961,398F
625.158,399F
629.954,400F
635.151,401F
639.948,401F
645.143,402F
649.94,403F
655.136,404F
659.933,406F
665.129,407F
670.326,407F
675.122,408F
680.319,409F
685.115,409F
690.312,410F
695.108,411F
700.304,412F
705.1,412F
710.297,413F
715.093,414F
720.29,415F
725.086,416F
730.283,417F
735.079,418F
740.276,419F
745.072,420F
750.269,421F
755.064,421F
760.261,422F
765.057,423F
770.254,424F
775.05,425F
780.247,426F
785.044,427F
790.24,429F
795.036,430F
800.232,431F
805.028,432F
810.224,433F
815.021,434F
820.218,435F
825.014,436F
830.211,437F
835.007,439F
